,City,County,State,Full Address,Latitude,Longitude,Country,FIPS,,,,,,,NUMBER OF ARTICLES
NON-NATIVE: NEWSBANK,,,,   ,   ,   ,,,,,,,,,
WA,,,,   ,   ,   ,,,,,,,,,
ABC - 4 KOMO,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,No,Transcript,English,1/26/2007,Full Text,0
Anacortes American,Anacortes,Skagit,WA,Anacortes Skagit WA ,48.5126045,-122.6126718,USA,,Weekly,Yes,Newspaper,English,8/3/2010,Full Text,4
Arlington Times,Arlington,Snohomish,WA,Arlington Snohomish WA ,48.1987118,-122.1251418,USA,,Weekly,Yes,Newspaper,English,10/4/2006,Full Text,1
Associated Press State Wire: Washington,,,WA,  WA ,47.2551307,-122.4419643,USA,,Daily,No,Newswire,English,12/31/2010,Full Text,10
Auburn Reporter,Auburn,KING,WA,Auburn KING WA ,47.3073228,-122.2284532,USA,,Weekly,Yes,Newspaper,English,3/26/2008,Full Text,8
"B-Town Blog, The",Burien,King,WA,Burien King WA ,47.4668384,-122.3405305,USA,,Daily,Yes,Web-Only Source,English,1/2/2009,Full Text,0
Bainbridge Island Review,Bainbridge Island,Kitsap,WA,Bainbridge Island Kitsap WA ,47.6248791,-122.5210008,USA,,Weekly,Yes,Newspaper,English,10/14/1999,Full Text,0
Basin Business Journal Farm News,Moses Lake,GRANT,WA,Moses Lake GRANT WA ,47.1301417,-119.2780771,USA,,Monthly,Yes,Magazine,English,2/1/2020,Full Text,0
Bellevue Reporter,Bellevue,King,WA,Bellevue King WA ,47.6101497,-122.2015159,USA,,Weekly,Yes,Newspaper,English,6/5/2009,Full Text,6
"Bellingham Business Journal, The",Bellingham,WHATCOM,WA,Bellingham WHATCOM WA ,48.7519112,-122.4786854,USA,,Monthly,Yes,Journal,English,4/1/2005,Full Text,0
"Bellingham Herald Today's Edition, The",Bellingham,Whatcom,WA,Bellingham Whatcom WA ,48.7519112,-122.4786854,USA,,Daily,Yes,Newspaper: Image Edition,English,6/7/2024,Full Text,4
"Bellingham Herald, The",Bellingham,Whatcom,WA,Bellingham Whatcom WA ,48.7519112,-122.4786854,USA,,Weekly,Yes,Newspaper,English,9/4/1999,Full Text,40
"Bellingham Herald, The",Bellingham,Whatcom,WA,Bellingham Whatcom WA ,48.7519112,-122.4786854,USA,,Weekly,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,15
"Bellingham Herald, The: Blogs",Bellingham,Whatcom,WA,Bellingham Whatcom WA ,48.7519112,-122.4786854,USA,,Weekly,Yes,Blog,English,9/14/2007,Full Text,0
"Bellingham Herald, The: Video",Bellingham,Whatcom,WA,Bellingham Whatcom WA ,48.7519112,-122.4786854,USA,,Daily,Yes,Video,English,3/24/2023,Full Video Feed,0
"Bellingham Herald, The: Video Transcripts",Bellingham,Whatcom,WA,Bellingham Whatcom WA ,48.7519112,-122.4786854,USA,,Daily,Yes,Transcript,English,4/17/2019,Full Text,0
"Bellingham Herald, The: Web Edition Articles",Bellingham,Whatcom,WA,Bellingham Whatcom WA ,48.7519112,-122.4786854,USA,,Daily,Yes,Web-Only Source,English,6/3/2009,Full Text,2
Bonney Lake & Sumner Courier-Herald,Bonney Lake,Pierce,WA,Bonney Lake Pierce WA ,47.1770777,-122.1868601,USA,,Weekly,Yes,Newspaper,English,11/18/2008,Full Text,0
Bothell-Kenmore Reporter,"Bothell, Kenmore",KING,WA,"Bothell, Kenmore KING WA ",47.7583576,-122.2496863,USA,,Bi-Weekly,Yes,Newspaper,English,4/9/2008,Full Text,6
Bremerton Patriot,Bremerton,Kitsap,WA,Bremerton Kitsap WA ,47.5650067,-122.6269768,USA,,Weekly,Yes,Newspaper,English,2/22/2002,Full Text,0
Buccaneer: Peninsula College,Port Angeles,Clallam,WA,Port Angeles Clallam WA ,48.118146,-123.4307413,USA,,Bi-Monthly,No,College/University Newspaper,English,1/28/2016,Full Text,0
Camas-Washougal Post-Record,Camas,Clark,WA,Camas Clark WA ,45.5856983,-122.4026689,USA,,Weekly,Yes,Newspaper,English,6/11/2010,Full Text,0
Capitol Hill Times,Seattle,KING,WA,Seattle KING WA ,47.5983889,-122.3299086,USA,,Weekly,Yes,Newspaper,English,1/17/2012,Full Text,1
Cascade PBS,Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Daily,Yes,Web-Only Source,English,8/6/2024,Full Text,0
Cascadia Daily News,Bellingham,Whatcom,WA,Bellingham Whatcom WA ,48.7519112,-122.4786854,USA,,Daily,Yes,Newspaper,English,1/23/2022,Full Text,8
Cascadia Daily News,Bellingham,Whatcom,WA,Bellingham Whatcom WA ,48.7519112,-122.4786854,USA,,Weekly,Yes,Newspaper: Image Edition,English,10/12/2022,Full Text,4
Cashmere Valley Record,Cashmere,Chelan,WA,Cashmere Chelan WA ,47.5221234,-120.4698862,USA,,Weekly,Yes,Newspaper,English,8/1/2012,Full Text,1
CBS - 2 KREM,Spokane,Spokane,WA,Spokane Spokane WA ,47.6579711,-117.4235319,USA,,Daily,Yes,Web-Only Source,English,8/1/2009,Full Text,14
CBS - 7 KIRO,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,No,Transcript,English,1/26/2007,Full Text,0
CBS - 7 KIRO: Web Edition Articles,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,Yes,Web-Only Source,English,5/4/2013,Full Text,4
"Center Square Washington, The",,,WA,  WA ,47.2551307,-122.4419643,USA,,Weekly,Yes,Web-Only Source,English,1/6/2020,Full Text,0
Central Kitsap Reporter,Silverdale,Kitsap,WA,Silverdale Kitsap WA ,47.6445386,-122.6948697,USA,,Weekly,Yes,Newspaper,English,9/7/1999,Full Text,0
Chinook Observer,Long Beach,Pacific,WA,Long Beach Pacific WA ,46.3523219,-124.0543234,USA,,Weekly,Yes,Newspaper,English,8/5/2002,Full Text,1
"Chronicle, The",Centralia,Lewis,WA,Centralia Lewis WA ,46.7162136,-122.9542972,USA,,Daily,Yes,Newspaper,English,10/31/2002,Full Text,11
City Living Seattle,Seattle,KING,WA,Seattle KING WA ,47.5983889,-122.3299086,USA,,Monthly,Yes,Newspaper,English,6/18/2001,Full Text,1
Columbia Basin Herald,Moses Lake,GRANT,WA,Moses Lake GRANT WA ,47.1301417,-119.2780771,USA,,Daily,No,Newspaper,English,4/6/2004,Full Text,6
"Columbian, The",Vancouver,Clark,WA,Vancouver Clark WA ,45.6809635,-122.5970739,USA,,Daily,No,Newspaper,English,6/1/1994,Full Text,18
"Communicator, The: Spokane Falls Community College",Spokane,Spokane,WA,Spokane Spokane WA ,47.6579711,-117.4235319,USA,,Bi-Weekly,No,College/University Newspaper,English,3/10/2016,Full Text,0
Crescent Bar Chronicle,Quincy,Grant,WA,Quincy Grant WA ,47.2342997,-119.8525504,USA,,Weekly,Yes,Newspaper,English,5/12/2011,Full Text,0
Crosscut.com,Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Daily,Yes,Web-Only Source,English,4/1/2007,Full Text,10
"Daily Evergreen, The: Washington State University",Pullman,Whitman,WA,Pullman Whitman WA ,46.7297771,-117.1817377,USA,,Daily,No,College/University Newspaper,English,9/19/2012,Full Text,4
"Daily Herald, The",Everett,Snohomish,WA,Everett Snohomish WA ,47.9782457,-122.207417,USA,,Daily,Yes,Newspaper,English,8/16/2005,Full Text,17
"Daily News, The",Longview,COWLITZ,WA,Longview COWLITZ WA ,46.1381676,-122.9381672,USA,,Daily,Yes,Newspaper,English,11/2/2000,Full Text,12
"Daily News, The",Longview,COWLITZ,WA,Longview COWLITZ WA ,46.1381676,-122.9381672,USA,,Daily,No,Newspaper: Image Edition,English,5/10/2024,Full Text,2
Daily Record,Ellensburg,Kittitas,WA,Ellensburg Kittitas WA ,46.9965144,-120.5478474,USA,,Daily,Yes,Newspaper,English,1/4/2000,Full Text,1
Daily Record,Ellensburg,Kittitas,WA,Ellensburg Kittitas WA ,46.9965144,-120.5478474,USA,,Daily,Yes,Newspaper: Image Edition,English,3/5/2024,Full Text,0
"Daily World, The",Aberdeen,Grays Harbor,WA,Aberdeen Grays Harbor WA ,46.9753708,-123.8157218,USA,,Daily,Yes,Newspaper,English,1/20/2005,Full Text,6
Deer Park Tribune,Deer Park,Spokane,WA,Deer Park Spokane WA ,47.9543375,-117.476891,USA,,Weekly,Yes,Newspaper,English,2/4/2009,Full Text,0
Douglas County Empire Press,East Wenatchee,Douglas,WA,East Wenatchee Douglas WA ,47.4156824,-120.2931263,USA,,Weekly,Yes,Newspaper,English,12/9/2010,Full Text,2
"Easterner, The: Eastern Washington University",Cheney,Spokane,WA,Cheney Spokane WA ,47.4868989,-117.5759469,USA,,Weekly,No,College/University Newspaper,English,04/29/2013,Full Text,0
Eastside Journal,Bellevue,King,WA,Bellevue King WA ,47.6101497,-122.2015159,USA,,Daily,No,Newspaper,English,12/3/1999,Full Text,0
Enumclaw Courier-Herald,Enumclaw,KING,WA,Enumclaw KING WA ,47.2042681,-121.9915003,USA,,Weekly,Yes,Newspaper,English,2/5/2003,Full Text,6
"Falcon, The: Seattle Pacific University",Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Weekly,Yes,College/University Newspaper,English,10/9/2013,Full Text,2
Federal Way Mirror,Federal Way,"King, Pierce",WA,"Federal Way King, Pierce WA ",47.3224006,-122.3134186,USA,,Weekly,Yes,Newspaper,English,6/7/2000,Full Text,7
Foothills ,Wenatchee,"Chelan, Douglas",WA,"Wenatchee Chelan, Douglas WA ",47.4234599,-120.3103494,USA,,Monthly,Yes,Magazine,English,3/7/2018,Full Text,0
Forks Forum,Forks,CLALLAM,WA,Forks CLALLAM WA ,47.950355,-124.3854867,USA,,Weekly,Yes,Newspaper,English,11/18/2010,Full Text,0
FOX - 13 KCPQ,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,No,Transcript,English,1/23/2007,Full Text,0
FOX - 13 KCPQ,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,No,Web-Only Source,English,2/16/2011,Full Text,0
"Herald Business Journal, The",Everett,Snohomish,WA,Everett Snohomish WA ,47.9782457,-122.207417,USA,,Monthly,Yes,Journal,English,1/1/2007,Full Text,0
i Love Kent,Kent,King,WA,Kent King WA ,47.3815271,-122.2374262,USA,,Daily,Yes,Web-Only Source,English,1/5/2016,Full Text,0
Independent - 2 NWCN,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,No,Transcript,English,1/28/2007,Full Text,0
International Examiner,Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Bi-Weekly,Yes,Newspaper,English,2/18/2009,Full Text,0
"Islands' Sounder, The",Eastsound,SAN JUAN,WA,Eastsound SAN JUAN WA ,48.696654,-122.9061069,USA,,Weekly,Yes,Newspaper,English,10/2/2001,Full Text,0
"Islands' Weekly, The",Lopez Island,SAN JUAN,WA,Lopez Island SAN JUAN WA ,48.4869178,-122.8955117,USA,,Weekly,Yes,Newspaper,English,12/23/2001,Full Text,0
Issaquah & Sammamish Reporter,Issaquah,KING,WA,Issaquah KING WA ,47.5300699,-122.0329148,USA,,Weekly,Yes,Newspaper,English,4/4/2008,Full Text,6
Journal of the San Juan Islands,Friday Harbor,SAN JUAN,WA,Friday Harbor SAN JUAN WA ,48.5342662,-123.0171242,USA,,Weekly,Yes,Newspaper,English,5/13/2008,Full Text,0
Kent Reporter,Kent,King,WA,Kent King WA ,47.3815271,-122.2374262,USA,,Weekly,Yes,Newspaper,English,4/2/2008,Full Text,10
King County Journal,Bellevue,King,WA,Bellevue King WA ,47.6101497,-122.2015159,USA,,Daily,Yes,Newspaper,English,12/3/1999,Full Text,0
Kingston Community News,Kingston,Kitsap,WA,Kingston Kitsap WA ,47.7987072,-122.4981921,USA,,Monthly,Yes,Newspaper,English,4/30/2007,Full Text,0
Kirkland Reporter,Kirkland,King,WA,Kirkland King WA ,47.6768927,-122.2059833,USA,,Weekly,Yes,Newspaper,English,4/9/2008,Full Text,6
Kitsap Daily News,Poulsbo,Kitsap,WA,Poulsbo Kitsap WA ,47.735928,-122.6465372,USA,,Daily,Yes,Web-Only Source,English,11/3/2016,Full Text,2
Kitsap Military Times,Naval Base Kitsap,Kitsap,WA,Naval Base Kitsap Kitsap WA ,47.72215,-122.7181033,USA,,Monthly,Yes,Magazine,English,3/23/2012,Full Text,0
Kitsap Navy News,Naval Base Kitsap,Kitsap,WA,Naval Base Kitsap Kitsap WA ,47.72215,-122.7181033,USA,,Weekly,Yes,Newspaper,English,3/31/2011,Full Text,0
La Raza del Noroeste,Everett,Snohomish,WA,Everett Snohomish WA ,47.9782457,-122.207417,USA,,Weekly,Yes,Newspaper,Spanish,11/14/2008,Full Text,0
Lake Chelan Mirror,Chelan,Chelan,WA,Chelan Chelan WA ,47.8408323,-120.0168079,USA,,Weekly,Yes,Newspaper,English,8/1/2012,Full Text,1
"Leavenworth Echo, The",Leavenworth,Chelan,WA,Leavenworth Chelan WA ,47.5962326,-120.6614765,USA,,Weekly,Yes,Newspaper,English,9/5/2007,Full Text,1
Lynnwood Today,Lynnwood,Snohomish,WA,Lynnwood Snohomish WA ,47.8209301,-122.3151313,USA,,Daily,Yes,Web-Only Source,English,3/20/2010,Full Text,4
Madison Park Times,Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Monthly,Yes,Newspaper,English,6/18/2001,Full Text,0
Maple Valley & Covington Reporter,"Maple Valley, Covington",King,WA,"Maple Valley, Covington King WA ",47.3595592,-122.118012,USA,,Weekly,Yes,Newspaper,English,4/5/2008,Full Text,6
Marysville Globe,Marysville,Snohomish,WA,Marysville Snohomish WA ,48.0517637,-122.1770818,USA,,Weekly,Yes,Newspaper,English,10/4/2006,Full Text,1
Mercer Island Reporter,Mercer Island,"KING, Pierce",WA,"Mercer Island KING, Pierce WA ",47.5706548,-122.2220673,USA,,Weekly,Yes,Newspaper,English,1/6/2005,Full Text,6
MLTnews,Mountlake Terrace,Snohomish,WA,Mountlake Terrace Snohomish WA ,47.7881528,-122.3087405,USA,,Daily,Yes,Web-Only Source,English,5/27/2009,Full Text,3
My Edmonds News,Edmonds,Snohomish,WA,Edmonds Snohomish WA ,47.8111602,-122.3769102,USA,,Daily,Yes,Web-Only Source,English,10/27/2009,Full Text,3
NBC - 5 KING,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,Yes,Web-Only Source,English,8/10/2009,Full Text,25
NBC - 5 KING,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,No,Transcript,English,1/25/2007,Full Text,0
New City Collegian: Seattle Central Community College,Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Weekly,No,Blog,English,10/6/2013,Full Text,1
"News Tribune Today's Edition, The",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Newspaper: Image Edition,English,7/10/2024,Full Text,4
"News Tribune, The",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Weekly,Yes,Newspaper,English,1/1/1992,Full Text,0
"News Tribune, The",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Weekly,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,43
"News Tribune, The: Blogs",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Blog,English,3/16/2006,Full Text,0
"News Tribune, The: Video",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Video,English,6/22/2023,Full Video Feed,0
"News Tribune, The: Video Transcripts",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Transcript,English,5/6/2019,Full Text,0
"News Tribune, The: Web Edition Articles",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Web-Only Source,English,6/3/2009,Full Text,11
Normandy Park Blog,Normandy Park,King,WA,Normandy Park King WA ,47.4362103,-122.3406799,USA,,Daily,Yes,Web-Only Source,English,8/16/2019,Full Text,0
"North American Post, The (Hokubei Hochi)",Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Weekly,Yes,Newspaper,English,10/10/2015,Full Text,0
"North Coast News, The",Ocean Shores,GRAYS HARBOR,WA,Ocean Shores GRAYS HARBOR WA ,47.0074167,-124.1613653,USA,,Monthly,Yes,Newspaper,English,11/4/2008,Full Text,0
North Kitsap Herald,Poulsbo,Kitsap,WA,Poulsbo Kitsap WA ,47.735928,-122.6465372,USA,,Weekly,Yes,Newspaper,English,8/9/2000,Full Text,0
Northwest Navigator Kitsap-Everett,Naval Base Kitsap,Kitsap,WA,Naval Base Kitsap Kitsap WA ,47.72215,-122.7181033,USA,,Weekly,Yes,Newspaper,English,9/30/2004,Full Text,0
Northwest Navigator Whidbey,Whidbey Island Naval Base,Island,WA,Whidbey Island Naval Base Island WA ,48.3451754,-122.6695813,USA,,Weekly,Yes,Newspaper,English,9/30/2004,Full Text,0
Okanogan Valley Gazette-Tribune,Oroville,OKANOGAN,WA,Oroville OKANOGAN WA ,48.9392876,-119.4352588,USA,,Weekly,Yes,Newspaper,English,10/1/2007,Full Text,0
"Olympian Today's Edition, The",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Daily,Yes,Newspaper: Image Edition,English,6/13/2024,Full Text,4
"Olympian, The",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Weekly,Yes,Newspaper,English,1/1/2001,Full Text,7
"Olympian, The",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Daily,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,0
"Olympian, The: Blogs",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Daily,Yes,Blog,English,1/1/2006,Full Text,0
"Olympian, The: Video",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Weekly,Yes,Video,English,6/5/2023,Full Video Feed,0
"Olympian, The: Video Transcripts",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Weekly,Yes,Transcript,English,4/16/2019,Full Text,0
"Olympian, The: Web Edition Articles",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Daily,Yes,Web-Only Source,English,6/3/2009,Full Text,0
"Palestine Chronicle, The",Mountlake Terrace,Snohomish,WA,Mountlake Terrace Snohomish WA ,47.7881528,-122.3087405,USA,,Weekly,No,Web-Only Source,English,6/18/2008,Full Text,0
